Name,Card_no,DOB,Age,Gender,Card_Type,Exp_date,Credit_Limit,Base_Location,Base_Latitude,Base_longitude,Avg_no_trans,Occupation,Mobile_No ,Education
Sim Boundy,5.70562E+15,7/3/1958,59,Male,Gold,13/01/2019,175000,Mysore,12.29581,76.63938,16,IT Employee,9615638734,Grad
Lyda Dmtrovic,7.86689E+15,28/10/1956,61,Male,Gold,6/5/2019,250000,Hyderabad,17.38504,78.48667,18,Business,8838380212,High_School
Izaak Goodbarne,5.75292E+15,20/07/1962,55,Female,Platinum,6/11/2019,75000,Surat,21.17024,72.83106,14,Government Officer,8732265359,Grad
Gayler Reboul,7.60624E+15,26/08/1980,37,Male,Gold,20/05/2018,225000,Mumbai,19.07598,72.87766,17,Professor,8735776611,Post_Grad
Amabelle Bunch,6.48726E+15,3/3/1991,26,Male,Gold,9/6/2019,100000,Kolkata,22.57265,88.3639,14,Business,9291716275,Intermediate
Fanchon Lilly,6.84252E+15,28/11/1986,31,Female,Gold,4/1/2019,300000,Hyderabad,17.38504,78.48667,19,Professor,9301519336,Post_Grad
Giles Calvie,6.59628E+15,26/07/1976,41,Male,Silver,3/4/2018,325000,Pune,18.52043,73.85674,20,IT Employee,9514530337,Grad
Sofia Rubinovitsch,4.88755E+15,23/04/1995,22,Male,Gold,4/11/2019,325000,Surat,21.17024,72.83106,19,Business,9611849776,Intermediate
Gonzales McCromley,7.76214E+15,1/2/1977,40,Female,Gold,5/4/2018,200000,Chennai,13.08268,80.27072,17,Government Officer,9811362783,Grad
Beniamino Sorey,5.33148E+15,21/12/1960,56,Male,Gold,27/05/2018,250000,Delhi,28.70406,77.10249,18,Government Officer,9648502791,Grad
Karel Cropper,4.70196E+15,4/10/1989,28,Male,Silver,11/10/2018,125000,Bangalore,12.9716,77.59456,15,IT Employee,8634200557,Post_Grad
Cindy Currier,4.76476E+15,5/2/1975,42,Female,Gold,7/5/2019,250000,Ahmedabad,23.02251,72.57136,18,Entrepreneur,9240880904,Grad
Clair Connerly,6.63228E+15,1/12/1971,46,Male,Gold,18/05/2019,150000,Mysore,12.29581,76.63938,16,Government Officer,8666497980,Grad
Starr Ginty,5.97502E+15,12/9/1963,54,Male,Gold,16/05/2019,175000,Chennai,13.08268,80.27072,16,Lawyer,9539806167,Post_Grad
Dusty Kernoghan,5.23373E+15,9/12/1992,25,Female,Platinum,12/10/2019,275000,Surat,21.17024,72.83106,18,Government Officer,9105740632,Grad
Aldon Ivain,6.4646E+15,4/8/1981,36,Male,Gold,21/04/2019,300000,Mumbai,19.07598,72.87766,19,Business,9150567184,Intermediate
Arty Dooly,7.49179E+15,24/11/1958,59,Male,Gold,24/01/2018,175000,Mysore,12.29581,76.63938,16,IT Employee,9421229936,Post_Grad
Filip Bris,6.5699E+15,3/11/1956,61,Female,Gold,9/7/2018,225000,Delhi,28.70406,77.10249,17,Entrepreneur,8679731202,Grad
Cassie Petracci,8.20102E+15,4/2/1994,23,Male,Silver,15/04/2019,300000,Pune,18.52043,73.85674,19,Lawyer,9434285802,Post_Grad
Annamaria Millson,5.17167E+15,31/07/1981,36,Male,Gold,24/03/2018,175000,Kolkata,22.57265,88.3639,16,IT Employee,9070961810,Post_Grad
Enid Nashe,8.05349E+15,2/8/1960,57,Female,Gold,1/6/2019,250000,Ahmedabad,23.02251,72.57136,18,Government Officer,9163629135,Grad
Simone Trownson,7.32447E+15,9/11/1990,27,Male,Gold,29/03/2018,150000,Bangalore,12.9716,77.59456,15,Business,9525809479,Intermediate
Alexander Wahlberg,8.0319E+15,28/04/1990,27,Male,Silver,28/11/2019,225000,Hyderabad,17.38504,78.48667,17,Entrepreneur,8754129091,Grad
Itch Kencott,8.30676E+15,25/04/1964,53,Female,Gold,7/11/2019,350000,Mumbai,19.07598,72.87766,20,Lawyer,8871220109,Post_Grad
Carina Allett,7.76528E+15,4/11/1966,51,Male,Gold,18/01/2019,225000,Bangalore,12.9716,77.59456,17,Professor,9868939063,Post_Grad
Wallas Klezmski,8.90084E+15,22/02/1965,52,Male,Gold,14/09/2019,175000,Pune,18.52043,73.85674,16,Business,8723504098,Intermediate
Carroll de Vaen,8.50812E+15,24/11/1964,53,Female,Platinum,24/09/2019,175000,Chennai,13.08268,80.27072,16,Business,9625527708,Intermediate
Egon Ongin,6.64604E+15,29/06/1971,46,Male,Gold,22/04/2018,250000,Kolkata,22.57265,88.3639,18,Business,8880801125,High_School
Husain Tilberry,4.72145E+15,11/8/1960,57,Male,Gold,9/8/2019,250000,Delhi,28.70406,77.10249,18,IT Employee,9344671282,Grad
Tasha Lambot,6.60599E+15,22/09/1993,24,Female,Gold,14/11/2018,250000,Mysore,12.29581,76.63938,18,Business,8825947013,Intermediate
Mallorie Fylan,9.59845E+15,24/12/1964,52,Male,Silver,22/03/2018,125000,Surat,21.17024,72.83106,15,Business,8626347126,Intermediate
Johnette Blount,8.47571E+15,22/02/1971,46,Male,Gold,28/08/2018,275000,Hyderabad,17.38504,78.48667,18,Entrepreneur,9711896799,Grad
Angelo Cholton,6.97461E+15,25/09/1957,60,Female,Gold,13/06/2019,200000,Ahmedabad,23.02251,72.57136,17,Business,9747179526,Intermediate
Cyndi Wolfer,8.62435E+15,18/03/1977,40,Male,Gold,9/9/2018,75000,Chennai,13.08268,80.27072,14,Business,8630211304,High_School
Terri Veljes,9.72742E+15,3/7/1988,29,Male,Silver,18/01/2018,225000,Mumbai,19.07598,72.87766,17,Entrepreneur,9556192406,Grad
Cam Reeme,8.01355E+15,14/03/1976,41,Female,Gold,14/10/2018,100000,Delhi,28.70406,77.10249,14,Business,9673580445,High_School
Elysha Riveles,8.36004E+15,24/05/1967,50,Male,Gold,23/05/2018,325000,Kolkata,22.57265,88.3639,19,Government Officer,9431184969,Grad
Leonid Knight,6.73127E+15,8/6/1967,50,Male,Gold,19/12/2019,175000,Bangalore,12.9716,77.59456,16,HR,9796668994,Post_Grad
Virginia Greenslade,5.75004E+15,14/01/1994,23,Female,Platinum,10/4/2019,350000,Hyderabad,17.38504,78.48667,20,HR,8628309650,Post_Grad
Traci Blooman,6.40316E+15,15/01/1972,45,Male,Gold,20/05/2019,325000,Ahmedabad,23.02251,72.57136,19,HR,8896531698,Post_Grad
Clovis Kield,9.25885E+15,26/02/1955,62,Male,Gold,21/11/2018,350000,Pune,18.52043,73.85674,20,Business,9006529047,Intermediate
Kipp Ricardo,4.60157E+15,17/06/1975,42,Female,Gold,28/11/2018,175000,Mysore,12.29581,76.63938,16,Business,9186564346,High_School
Gregg Cumbers,7.95272E+15,2/12/1964,53,Male,Silver,15/07/2019,225000,Surat,21.17024,72.83106,17,Entrepreneur,9245480798,Grad
Harshit Rastogi,2.4042E+15,8/8/1990,26,Male,Platinum,1/12/2022,100000,Gurgaon,28.4595,77.0266,5,IT Employee,9810221761,Post_Grad
